1,UO_SY_SETUP : Setup Unit Operation Commenced
2,UO_SY_SETUP : Setup Unit Operation Commenced
3,UO_SY_SETUP : Unit Operation Commenced
4,UO_SY_SETUP : Unit Operation Completed
5,UO_SY_SETUP : Start Vacuum
6,UO_SY_SETUP : Vacuum hold evacuation failed
7,UO_SY_SETUP : Start Vacuum Hold Timer
8,UO_SY_SETUP : Log operator repeat
9,UO_SY_SETUP : Log operator ABORT
10,UO_SY_SETUP : Pressure logging
11,UO_SY_SETUP : Log actual time vacuum held.
12,UO_SY_SETUP : Vacuum Hold failed
13,UO_SY_SETUP : Log operator abort
14,UO_SY_SETUP : Log operator repeat
15,UO_SY_SETUP : Setup Unit Operation Completed
